찌짐,,,,NNG,*,T,찌짐,*,*,*,*
단디,,,,MAG,*,F,단디,*,*,*,*
개비,,,,VV,*,F,개비,*,*,*,*
개벼라,,,,VV+EC+EF,*,F,개벼라,Inflect,VV,EF,개비/VV/*+어/EC/*+라/EF/*
